word1	word2	SimLex999
abdomen	belly	8.13
ability	competence	7.5
absence	presence	0.4
absorb	learn	5.48
absorb	possess	5
absorb	withdraw	2.97
abundance	plenty	8.97
accept	acknowledge	6.88
accept	believe	6.75
accept	deliver	1.58
accept	deny	1.75
accept	forgive	3.73
accept	recommend	2.75
accept	reject	0.83
accident	catastrophe	5.9
accident	emergency	4.93
accomplish	achieve	8.57
accomplish	become	4
accomplish	win	7.85
achieve	succeed	7.5
achieve	try	4.42
acknowledge	notify	5.3
acknowledge	speak	4.67
acquire	find	6.38
acquire	get	8.82
acquire	join	2.85
acquire	obtain	8.57
action	course	5.45
action	game	4.85
activity	movement	7.15
actor	actress	7.12
actor	singer	4.52
add	build	4.92
add	divide	2.3
add	join	8.1
add	multiply	2.7
administration	management	7.25
adult	baby	2.22
adult	child	2.98
adult	guardian	6.9
adult	parent	5.37
adversary	opponent	9.05
advise	recommend	8.1
afraid	anxious	5.07
age	beauty	1.58
aggression	hostility	8.48
agony	grief	7.63
agree	argue	0.77
agree	differ	1.05
agree	please	4.13
agreement	argument	1.45
agreement	hole	0.3
agreement	pact	9.02
air	helium	3.63
air	molecule	3.05
airport	plane	3.65
aisle	hall	6.35
aisle	hallway	6.75
alcohol	beer	7.5
alcohol	brandy	6.98
alcohol	cocktail	6.73
alcohol	gin	8.65
alcohol	whiskey	7.27
alcohol	wine	7.42
alley	bowl	1.53
alley	street	5.48
allow	give	5.15
allow	go	3.62
aluminum	metal	7.25
aluminum	tin	6.42
analyze	compare	8.1
analyze	evaluate	8.03
anarchy	chaos	7.93
anatomy	biology	5.33
anchor	boat	2.25
ancient	modern	0.73
ancient	new	0.23
anger	frustration	6.5
anger	fury	8.73
anger	mood	4.1
angle	curve	3.33
angry	happy	1.28
angry	violent	6.98
animal	beast	7.83
animal	person	3.05
ankle	bone	3.82
ankle	elbow	3.13
ankle	window	0.3
announce	declare	9.08
announce	proclaim	8.18
ant	bee	2.78
anxious	impatient	6.03
apartment	furniture	1.28
apartment	hotel	3.33
apartment	house	5.8
apparent	obvious	8.47
appear	attend	6.28
appear	become	4.77
appear	leave	0.97
apple	candy	2.08
apple	diet	1.18
apple	juice	2.88
apple	lemon	4.05
apple	sauce	1.43
apple	sunshine	0.58
appliance	pot	2.53
appoint	elect	8.17
appointment	engagement	6.75
archbishop	bishop	7.05
area	corner	2.07
area	region	9.47
area	zone	8.33
argue	complain	4.8
argue	differ	5.15
argue	justify	5
argue	persuade	6.23
argue	prove	4.83
argue	rationalize	4.2
argument	criticism	5.08
argument	discussion	5.48
arithmetic	logic	3.97
arithmetic	rhythm	2.35
arm	body	4.05
arm	bone	3.83
arm	knee	2.75
arm	leg	2.88
arm	muscle	3.72
arm	neck	1.58
arm	shoulder	4.85
arm	vein	3.65
arm	wrist	3.57
army	legion	5.95
army	navy	6.43
army	squad	5.08
arrange	organize	8.27
arrange	require	0.98
arrive	attend	6.08
arrive	come	7.05
arrive	leave	1.33
arrow	target	3.25
article	book	5.43
article	journal	6.18
ashamed	guilty	6.38
ashamed	modest	2.65
ask	beg	6
ask	ignore	1.07
ask	plead	6.47
ask	pray	3.72
assignment	task	8.7
assume	predict	4.85
assume	pretend	3.72
atmosphere	pollution	4.25
atom	carbon	3.1
atom	molecule	6.45
attach	join	7.75
attend	come	8.1
attend	gather	4.8
attend	send	1.67
attention	awareness	8.73
attention	interest	7.22
attitude	confidence	4.35
attorney	lawyer	9.35
august	month	5.53
aunt	nephew	3.1
aunt	uncle	5.5
author	creator	8.02
author	reader	1.6
aviation	flight	8.18
avoid	ignore	6.87
avoid	reject	4.78
awful	bad	8.42
awful	great	1.17
baby	daughter	5
bacon	bean	1.22
bacon	breakfast	4.37
bacon	meat	5.8
bad	great	0.35
bad	guilty	4.2
bad	immoral	7.62
bad	terrible	7.78
bad	terrific	0.65
bag	purse	8.33
ball	basket	1.67
ball	cannon	2.58
ball	costume	2.32
ball	glove	1.75
ballad	song	7.53
balloon	bath	0.4
balloon	people	0.48
band	endurance	0.4
band	liquor	0.68
band	orchestra	7.08
band	parade	3.92
banker	lawyer	1.88
bar	cage	2.8
bar	jail	1.9
barn	house	4.33
baseball	basketball	4.92
baseball	couch	0.88
baseball	fraternity	0.88
bath	log	0.4
bath	room	3.33
bath	trick	0.58
bath	wife	0.48
bathroom	bedroom	3.4
bathroom	kitchen	3.1
battle	conquest	7.22
beach	island	5.6
beach	reef	3.77
beach	sea	4.68
beach	seashore	8.33
bean	coffee	5.15
bean	rice	2.72
beautiful	wonderful	6.5
become	make	4.77
become	organize	1.77
become	seem	2.63
bed	bedroom	3.4
bed	blanket	3.02
bed	chair	3.5
bed	couch	3.42
bed	crib	7.3
bed	furniture	6.08
bed	hospital	0.92
bed	room	2.35
bedroom	bicycle	0.4
bedroom	stomach	0.4
bee	insect	6.07
bee	queen	3.27
beef	cattle	7.03
beer	beverage	5.42
beer	champagne	4.45
beg	borrow	2.62
beg	plead	9.08
begin	go	7.42
begin	originate	8.2
begin	quit	1.28
behave	obey	7.3
belief	concept	5.08
belief	flower	0.4
belief	impression	5.95
belief	opinion	7.7
belief	value	7.07
believe	know	5.5
bell	door	2.2
bell	tower	1.9
belt	loop	3.1
bench	chair	6.67
bias	opinion	5.6
bible	book	5
bible	hymn	5.15
bicycle	car	3.47
big	broad	6.73
big	easy	1.12
big	heavy	6.18
big	large	9.55
biography	fiction	1.38
bird	hawk	7.85
bird	hen	7.03
bird	turkey	6.58
birthday	date	5.08
birthday	year	1.67
bizarre	strange	9.37
blade	grass	4.57
blood	flesh	4.28
blood	marrow	3.4
boat	car	2.37
boat	deck	4.28
boat	motor	2.57
body	chest	4.45
body	nerve	3.13
body	shoulder	2.88
body	spine	4.78
body	stomach	3.93
bold	proud	3.97
bone	elbow	3.78
bone	jaw	4.17
bone	knee	4.17
bone	muscle	3.65
bone	neck	2.53
bone	teeth	4.17
book	essay	4.72
book	information	5
book	literature	7.53
book	story	5.63
book	text	6.35
book	theme	2.58
book	topic	2.07
booth	box	3.8
booth	telephone	3.63
border	boundary	9.08
borrow	give	2.22
borrow	keep	2.25
borrow	sell	1.73
borrow	want	1.77
bottle	container	7.93
bottle	jar	7.83
bottom	side	2.63
bottom	top	0.7
bowl	plate	5.23
bowl	tail	0.48
box	cigar	1.25
box	elevator	1.32
box	hat	1.3
boy	brother	6.67
boy	child	5.75
boy	condition	0.48
boy	kid	7.5
boy	partner	1.9
boy	rice	0.4
boy	soldier	2.15
boy	son	6.75
brain	nerve	3.88
brandy	wine	5.15
bread	cheese	1.95
bread	flour	3.33
bread	meat	1.67
breakfast	dinner	3.33
breakfast	supper	4.4
breathe	choke	1.37
brick	wall	4.68
bride	groom	3.17
bride	princess	2.8
bridge	car	0.95
bridge	card	1.97
bring	carry	5.8
bring	come	2.42
bring	complain	0.98
bring	restore	2.62
bring	send	2.97
broad	narrow	1.18
brother	father	4.2
brother	son	3.48
brother	soul	0.97
brow	eye	3.82
bubble	suds	8.57
buddy	companion	8.65
buddy	friend	8.78
build	create	8.48
bulb	flower	4.48
bull	calf	4.93
bunch	crowd	7.42
burial	death	4.93
bus	cab	5.6
bus	vehicle	6.47
bush	flower	4.25
business	company	9.02
business	corporation	9.02
business	industry	7.02
butter	potato	1.22
button	clothes	2.3
buy	get	5.08
buy	steal	1.13
cab	car	7.42
cab	taxi	9.2
cabin	camp	4.2
cabin	cottage	7.72
cabin	hut	6.53
calendar	date	4.42
camera	lens	4.28
camera	president	0.48
camera	worker	0.68
cancer	sickness	7.93
candidate	winner	2.78
cannon	gun	5.68
canyon	valley	6.75
capability	competence	7.62
capability	strength	5.28
capital	money	6.67
captain	sailor	5
car	carriage	5.13
car	elevator	1.03
car	factory	2.75
car	gauge	1.13
car	highway	3.4
car	horn	2.57
car	hose	0.87
car	street	2.38
cardboard	paper	5.38
carpet	house	1.38
carriage	wagon	7.7
carry	deliver	3.88
carry	take	5.23
cat	dog	1.75
cat	lion	6.75
cat	mouse	1.12
cat	pet	5.95
cat	rabbit	2.37
catastrophe	death	4.13
cathedral	ceiling	2.42
cattle	cow	9.52
cattle	sheep	4.77
ceiling	floor	1.73
ceiling	roof	7.58
celebration	ceremony	7.72
cell	room	4.58
cellar	door	1.97
cent	people	0.48
cent	size	0.4
cent	wife	0.58
century	decade	3.48
century	liquor	0.4
cereal	wheat	3.75
certain	sure	8.42
chair	sofa	6.67
champagne	whiskey	5.33
champion	winner	8.73
chapel	steeple	7.08
chapter	choice	0.48
chapter	night	0.48
chapter	tail	0.3
charcoal	coal	7.63
cheap	dirty	1.6
cheap	inexpensive	8.72
cheek	tongue	4.52
cheerful	delightful	6.58
cheerful	happy	9.55
chemistry	theory	3.17
cherish	keep	4.85
chicken	dinner	2.85
chicken	rice	1.43
chicken	steak	3.73
chief	mayor	4.85
child	girl	5.38
child	man	4.13
childish	foolish	5.5
chocolate	pie	2.27
choice	jail	1.08
choice	opinion	5.43
choice	vein	0.98
choir	church	2.95
choke	kill	4.92
choose	decide	8.87
choose	elect	7.62
choose	want	4.78
cigar	pipe	6.03
cigarette	tobacco	7.5
circumstance	situation	7.85
clarify	explain	8.33
class	college	4.13
classroom	hallway	2
clever	dumb	1.17
clever	sly	7.25
cliff	hill	4.28
cliff	tail	0.3
closet	clothes	3.27
cloth	clothes	5.47
clothes	coat	5.35
clothes	drawer	3.02
clothes	fabric	5.87
clothes	jacket	5.15
cloud	fog	6
cloud	haze	7.32
cloud	mist	6.67
cloud	storm	5.6
cloud	weather	4.87
club	society	5.23
clue	word	2.53
coast	shore	8.83
coat	hat	2.67
code	symbol	6.03
collect	save	6.67
college	profession	3.12
colonel	dentist	0.4
colt	horse	7.07
come	go	2.42
comfort	safety	5.8
communicate	pray	3.55
communication	conversation	8.02
communication	language	7.47
communication	television	5.6
companion	lover	5.97
composer	writer	6.58
comprehend	know	7.63
comprehend	read	4.7
comprehend	satisfy	2.55
computer	disc	3.2
conclude	decide	7.75
condition	pact	2.45
condition	situation	6.58
cone	cup	3.17
confession	denial	1.03
confidence	self	3.12
confident	sure	8.27
confusion	hysteria	6.33
conquest	hymn	0.68
conquest	journey	4.72
construct	destroy	0.92
construct	make	8.33
construction	destruction	0.98
container	mouse	0.3
container	wagon	2.65
contemplate	think	8.82
cooperate	join	5.18
cooperate	participate	6.43
cop	sheriff	9.05
cord	wire	7.62
corridor	door	3.73
corridor	hallway	9.28
cotton	polyester	5.63
couple	pair	8.33
course	stomach	0.58
cousin	uncle	4.63
cow	goat	2.93
cradle	crib	8.55
crazy	insane	9.57
crazy	sick	3.57
create	destroy	0.63
create	imagine	5.13
create	make	8.72
creator	maker	9.62
crime	fraud	5.65
crime	theft	7.53
crime	violation	7.12
crowd	mob	7.85
crowd	parade	3.93
crucial	important	8.82
cruel	harsh	8.18
cruel	nice	0.67
crystal	glass	6.27
cup	jar	5.13
cup	spoon	2.02
curtain	rod	3.03
dad	mother	3.55
danger	disease	3
danger	threat	8.78
daughter	father	2.62
daughter	kid	4.17
dawn	day	5.47
dawn	gun	1.18
dawn	night	2.95
day	morning	4.87
day	night	1.88
death	tragedy	5.8
decade	era	5.4
decide	portray	1.18
decide	think	5.13
deck	floor	5.55
deck	mouse	0.48
decoration	wall	2.62
defend	kill	2.63
defend	protect	9.13
definition	dictionary	6.25
delightful	wonderful	8.65
deliver	take	4.37
demon	monster	6.95
dense	dumb	7.27
dense	hard	5.9
dentist	orthodontist	8.27
deny	give	1.43
depth	magnitude	6.12
deserve	earn	5.8
despair	misery	7.22
destroy	kill	5.9
destroy	make	1.6
determine	predict	5.8
devil	god	1.8
diamond	money	3.42
dictionary	word	3.68
diet	salad	2.98
different	normal	1.08
difficult	easy	0.58
difficult	hard	8.77
difficult	simple	0.87
difficulty	effort	4.45
dinner	meal	7.15
dinner	soup	3.72
dirt	mud	7.32
dirty	narrow	0.3
disappear	find	0.77
disappear	shrink	5.8
disappear	vanish	9.8
discourage	encourage	1.58
discourage	fail	3.33
discover	explore	8.48
discover	originate	4.83
discover	realize	7.47
discuss	explain	6.67
disease	infection	7.15
disorganize	organize	1.45
divide	multiply	1.75
do	happen	4.23
do	quit	1.17
doctor	orthodontist	5.58
doctor	physician	8.88
doctor	professor	4.65
doctor	temper	0.48
dog	horse	2.38
dollar	people	0.4
dominate	overcome	6.25
dominate	win	5.68
door	doorway	5.4
door	floor	1.67
door	fraternity	0.68
door	gate	5.25
door	kitchen	1.67
door	presence	0.48
door	window	3.33
doorway	exit	5.5
dreary	dull	8.25
driver	pilot	6.28
drizzle	rain	9.17
drum	guitar	3.78
drum	horn	2.68
dull	funny	0.55
dull	sharp	0.6
dumb	foolish	6.67
dumb	huge	0.48
dumb	intelligent	0.75
dumb	rare	0.48
dumb	smart	0.55
dumb	stupid	9.58
dusk	evening	7.78
earn	make	7.62
easy	flexible	4.1
easy	hard	0.95
easy	simple	9.4
easy	tough	0.52
elastic	flexible	7.78
elegance	style	5.72
emotion	mood	8.12
emotion	passion	7.72
employee	employer	3.65
employer	worker	5.37
endurance	flower	0.4
endurance	strength	6.58
engage	marry	5.43
engine	machine	5.58
engine	motor	8.65
enjoy	entertain	5.92
enter	go	4
enter	leave	0.95
enter	owe	0.68
entertain	please	5
equation	formula	7.95
essential	necessary	8.97
evaluate	learn	4.17
evening	sunset	5.98
examine	inspect	8.75
examine	investigate	8.1
exotic	rare	8.05
expand	grow	8.27
explain	prove	4.1
explore	ignore	0.4
eye	tear	3.55
fabric	linen	7.47
fact	insight	4.77
fact	proof	7.3
fail	lose	7.33
fail	succeed	0.83
fame	wealth	4.02
fantasy	reality	1.03
fashion	style	8.5
fast	rapid	8.75
father	god	3.57
father	man	4.83
father	parent	7.07
father	son	3.82
fee	payment	7.15
fee	salary	3.72
fence	rail	5.22
fever	flu	6.08
fever	illness	7.65
film	movie	8.87
find	locate	8.73
finger	palm	3.33
finger	toe	4.68
flexible	large	0.48
flexible	modest	0.98
floor	roof	2.62
flower	violet	6.95
foot	hand	4.17
foot	head	2.3
football	fun	1.97
forget	forgive	3.92
forget	ignore	3.07
forget	know	0.92
forget	learn	1.18
forget	remind	0.87
forget	retain	0.63
forgive	understand	4.87
formal	proper	8.02
formula	log	1.77
fox	hound	2.38
fragile	frigid	2.38
fraternity	men	3.13
fresh	new	6.83
fresh	old	0.87
fresh	wide	0.4
friend	guest	4.25
friend	guy	3.88
friend	mother	2.53
friend	teacher	2.62
friendly	generous	5.9
frigid	rough	2.47
fun	game	3.42
funny	sad	0.95
fur	gun	0.3
fur	mink	6.83
fur	woman	0.58
game	trick	2.32
garden	hose	1.67
gather	meet	7.3
generous	nice	5
gentleman	lady	3.42
get	lose	0.77
get	put	1.98
get	remain	1.6
gin	whiskey	6.28
girl	guy	3.33
girl	maid	2.93
give	keep	1.05
give	know	0.88
give	lend	7.22
give	put	3.65
give	receive	1.47
give	steal	0.5
glad	happy	9.17
glad	mad	1.45
globe	world	6.67
go	leave	7.63
go	sell	0.97
go	send	3.75
goal	quest	5.83
goal	winner	3.23
god	prey	1.23
god	priest	4.5
god	spirit	7.3
gossip	news	5.22
grade	school	4.42
grass	moss	5
grass	root	3.55
great	wonderful	8.05
greet	meet	6.17
grow	shrink	0.23
guardian	mother	6.5
guilty	honest	1.18
gun	knife	3.65
gun	people	0.68
gun	trick	0.48
gut	nerve	4.93
guy	partner	3.57
guy	stud	5.83
hand	nail	3.42
hand	thumb	3.88
hand	wrist	3.97
hang	kill	4.45
hang	put	3
happen	occur	9.32
happiness	luck	2.38
happiness	peace	6.03
happy	mad	0.95
happy	young	2
hard	simple	1.38
hard	tough	8.05
harm	pain	5.38
head	nail	2.47
head	shoulder	3.42
hear	listen	8.17
hear	speak	3.02
heart	surgery	1.08
heavy	laden	5.9
helper	maid	5.58
helper	teacher	4.28
hen	turkey	6.13
herb	marijuana	6.5
hero	heroine	8.78
highway	task	0.48
hip	lip	1.43
hole	wife	0.68
home	state	2.58
honey	sugar	5.13
horse	mare	8.33
horse	ox	3.02
house	key	1.9
huge	large	9.47
huge	tiny	0.6
hurricane	storm	6.38
husband	man	5.32
husband	wife	2.3
hut	shelter	6.47
hymn	straw	0.4
ice	water	6.47
idea	image	3.55
idea	opinion	5.7
idea	scheme	6.75
ignorance	intelligence	1.5
ignore	leave	4.42
illegal	immoral	4.28
illness	infection	6.9
illusion	reality	1.42
image	reflection	7.27
imagine	pretend	8.47
imitate	portray	6.75
important	necessary	7.37
inch	meter	5.08
inch	yard	3.78
income	tax	2.38
inform	notify	9.25
information	newspaper	5.65
inn	motel	8.17
inquire	require	1.82
inquire	think	4.77
insight	intelligence	5.9
instructor	teacher	9.25
instrument	violin	6.58
intelligence	logic	6.5
intelligence	skill	5.35
intelligence	wisdom	7.47
intelligent	smart	9.2
intuition	sense	7.68
investigate	pursue	7.15
iron	vitamin	5.55
island	princess	0.3
island	task	0.3
jacket	sweater	7.15
jet	plane	8.1
job	management	3.97
job	task	8.87
join	marry	5.35
join	participate	7.7
journey	trip	8.88
joy	pride	5
juice	milk	4.05
justice	right	7.05
justify	verify	4.08
keep	lose	1.05
keep	possess	8.27
keep	protect	5.4
kidney	organ	6.17
king	prince	5.92
king	princess	3.27
know	understand	7.47
lake	swamp	4.92
lamb	sheep	8.42
law	school	1.13
leader	manager	7.27
learn	listen	3.88
leave	remain	2.53
leave	take	2.47
leave	wander	3.57
ledge	mountain	3.73
leg	limb	6.9
lemon	tea	1.6
lend	owe	2.32
letter	paragraph	4
lip	mouth	7.1
liquor	wine	7.85
listen	obey	4.93
listen	understand	4.68
literature	word	4.77
liver	lung	2.7
liver	organ	6.15
log	timber	8.05
log	wood	7.3
long	narrow	3.57
long	short	1.23
lunch	sandwich	6.3
mad	terrific	0.4
mad	unhappy	5.95
magnitude	size	6.33
man	sentry	3.25
man	uncle	3.92
man	victor	1.9
man	warrior	4.72
man	woman	3.33
management	mouse	0.48
manner	way	7.62
maple	oak	6.03
maple	tree	5.53
mayor	president	5.68
meal	supper	7.53
meal	waist	0.98
meat	sandwich	2.35
meat	steak	7.47
mechanic	worker	4.92
medium	news	3.65
melody	music	6.98
melody	rhythm	6.12
menu	order	3.62
metal	tin	5.63
meter	yard	5.6
might	strength	7.07
minister	rabbi	7.62
mink	oil	1.23
minute	second	4.62
mist	rain	5.97
money	pearl	2.1
money	salary	7.88
monk	priest	6.28
moon	planet	5.87
mother	wife	3.02
mouse	rat	7.78
mouth	nose	3.73
mouth	tooth	6.3
muscle	tongue	5
mustard	seed	3.48
nail	thumb	3.55
narrow	wide	1.03
necessary	unnecessary	0.63
neck	spine	5.32
new	old	1.58
new	recent	7.05
newspaper	word	2.47
noise	racket	8.1
noise	rattle	6.17
normal	weird	0.72
north	south	2.2
north	west	3.63
nose	throat	2.8
noticeable	obvious	8.48
notify	portray	0.78
nurse	scientist	2.08
obtain	take	7.1
ocean	sea	8.27
odd	strange	9.02
odd	weird	9.2
page	paragraph	3.03
page	word	2.92
paper	wood	2.88
participate	say	3.82
party	people	2.2
people	population	7.68
perception	vision	6.88
persuade	pursue	3.17
phrase	word	5.48
plead	please	2.98
please	satisfy	7.67
polite	proper	7.63
politician	president	7.38
pollution	president	0.68
portray	pretend	7.03
possess	take	7.2
poverty	wealth	1.27
presence	winner	1.08
president	pupil	0.78
prestige	wealth	6.07
pretend	seem	4.68
professor	student	1.95
protect	save	6.58
proud	strong	3.17
psychology	science	4.92
pupil	student	9.35
quick	rapid	9.7
rabbi	teacher	4.37
rare	scarce	9.17
rationalize	think	8.25
ray	sunshine	6.83
receive	send	1.08
receive	take	5.08
reduce	shrink	8.02
reject	withdraw	6.38
remain	retain	5.75
remind	sell	0.4
replace	restore	5.73
restless	young	1.6
river	sea	5.72
river	stream	7.3
river	valley	1.67
roam	wander	8.83
sad	terrible	5.4
saint	sinner	1.6
salad	vinegar	1.13
salt	water	1.3
save	spend	0.55
say	verify	4.9
season	winter	6.27
secretary	woman	1.98
shame	sorrow	4.77
side	top	1.9
size	trick	0.48
sky	sun	2.27
sky	universe	4.68
sly	strange	1.97
strange	sly	2.07
sly	tough	0.58
snow	storm	4.8
snow	weather	5.48
song	story	3.97
steal	take	6.18
stomach	vein	2.35
stomach	waist	5.9
story	topic	5
strange	weird	8.93
straw	task	0.68
straw	wife	0.4
succeed	try	3.98
succeed	win	7.9
summer	winter	2.38
sunrise	sunset	2.47
task	woman	0.68
terrific	wonderful	8.63
think	try	2.62
throat	tongue	3.1
trial	verdict	3.33
triumph	victory	8.98
vein	vessel	5.15
week	weekend	4
wife	woman	5.72
